mb_release_title,local_folder_path,local_title,local_track_count,match_status,fix_note
Core: Best of Anthem 2000-2007,Anthem/Compilation/2007 - Core - Best of Anthem 2000-2007 [Limited Edition] [CD+DVD]/Bonus DVD,Core: Best Of Anthem 2000-2007,4,MISSING_TRACKS,
Core: Best of Anthem 2000-2007,Anthem/Compilation/2007 - Core - Best of Anthem 2000-2007 [Limited Edition] [CD+DVD]/CD,Core: Best of Anthem 2000-2007,17,COMPLETE,
Cosmic Interception,Von LMO/Album/1994 - Cosmic Interception,Cosmic Interception,10,COMPLETE,
Cosmic Interception,Von LMO/Compilation/1999 - Advance Yourself,Cosmic Interception,10,COMPLETE,
Cosmic Interception,Von LMO/Compilation/2018 - Songs From Galaxy Zero,Songs From Galaxy Zero,13,EXTRA_TRACKS,
Cosmic Interception,Von LMO/Live/2018 - 1980 Is Here,1980 Is Here,10,MISSING_TRACKS,
Cosmic Interception,Von LMO/Live/2018 - Live Max's 1979,Live Max's 1979,15,EXTRA_TRACKS,
Cowboy Under the Western Sky,"Rex Allen/Album/2008 - Classic Westerns. The Victor Young Years, Vol. I",Cowboy Under the Western Sky,12,COMPLETE,
Cowboy Under the Western Sky,Rex Allen/Album/2008 - Cowboy Essentials,Cowboy Under The Western Sky,26,EXTRA_TRACKS,
Cowboy Under the Western Sky,Rex Allen/Album/2020 - Best Collection Rex Allen,Cowboy Under the Western Sky,12,MISSING_TRACKS,
Cries From Hell,Heavy Water Factory/Album/1997 - Cries From Hell/1997 - Cries From Hell,Cries From Hell,13,COMPLETE,
Cries From Hell,Heavy Water Factory/Album/1997 - Cries From Hell/2024 - Cries From Hell Remaster,Cries From Hell,15,EXTRA_TRACKS,
Cries From Hell,Heavy Water Factory/EP/2024 - Delusions (Remix EP),Delusions (Remix EP),3,MISSING_TRACKS,
Crunk For Jesus,J-Shin/Album/2020 - Crunk for Jesus,Crunk For Jesus,12,COMPLETE,
Crunk For Jesus,J-Shin/Album/2020 - Eleven 0 Seven,Eleven 0 Seven,12,MISSING_TRACKS,
Crushing Fury of Bastardization,Mesrine/Album/2008 - Mesrine & Pretty Little Flower,Mesrine / P.L.F,8,MISSING_TRACKS,
Crushing Fury of Bastardization,Pretty Little Flower/Album/2008 - Crushing Fury of Bastardization,Crushing Fury of Bastardization,24,COMPLETE,
Crushing Fury of Bastardization,Pretty Little Flower/Album/2008 - Mesrine & Pretty Little Flower,Mesrine / P.L.F,8,MISSING_TRACKS,
Danado de bom,Luiz Gonzaga/Album/1984 - Danado de Bom,Danado de bom,12,MISSING_TRACKS,
Danado de bom,Luiz Gonzaga/Album/2003 - Danado De Bom,Danado De Bom,10,MISSING_TRACKS,
Dance to the Potshot Record,"Potshot/Album/2002 - Dance to the POTSHOT record (AM-115, 2004)",Dance to the Potshot Record,16,COMPLETE,
Dance to the Potshot Record,Potshot/Album/2002 - Dance to the POTSHOT record (TV-065)/Bonus Disc,Dance to the POTSHOT record (TV-065),3,MISSING_TRACKS,
Day by Day,Skinny Living/Album/2024 - Day by Day,Day by Day,13,COMPLETE,
Day by Day,Skinny Living/EP/2017 - 6,6,4,MISSING_TRACKS,
Dead Wonderland,iLL/Album/2007 - Dead Wonderland,Dead Wonderland,12,COMPLETE,
Dead Wonderland,iLL/EP/2007 - Call My Name,Call My Name,3,MISSING_TRACKS,
Decalogue of Modern Life,The Afterglow/Album/2006 - Decalogue Of Modern Life,Decalogue of Modern Life,10,COMPLETE,
Decalogue of Modern Life,The Afterglow/Album/2018 - Things I've Lost (2004-2017 The Greatest Hints),Things I've Lost (2004-2017 The Greatest Hints),30,EXTRA_TRACKS,
Decalogue of Modern Life,The Afterglow/EP/2005 - Love's The Cure,Decalogue of Modern Life,4,MISSING_TRACKS,
Decídete,Luis Miguel/Album/1983 - Decide Amor,Decide Amor,10,MISSING_TRACKS,
Decídete,Luis Miguel/Album/1983 - ¡Decídete!,Decídete,10,COMPLETE,
Desolation Boulevard,Sweet/Remastered/1974 - Desolation Boulevard (Rem. 2005),Desolation Boulevard,18,MISSING_TRACKS,
Desolation Boulevard,"Sweet/Remastered/2022 - Reincarnation 2 (Rem., digital)",Reincarnation 2,7,MISSING_TRACKS,
Devilish Deeds,Killus/Album/2020 - Devilish Deeds,Devilish Deeds,14,COMPLETE,
Devilish Deeds,Killus/Album/2021 - Live In a Ghost World (Live),Live In a Ghost World (Live),11,MISSING_TRACKS,
Devoid,Mutilation Rites/EP/2011 - Batillus - Mutilation Rites (split with Batillus),Concrete Sustain,2,MISSING_TRACKS,
Devoid,Mutilation Rites/EP/2012 - Devoid (EP),Devoid,4,COMPLETE,
Devoted,Walker Lukens/Album/2013 - Devoted,Devoted,11,COMPLETE,
Devoted,Walker Lukens/EP/2012 - Year of the Dog EP,Year of the Dog EP,5,MISSING_TRACKS,
Different Places,Plastic Operator/Album/2007 - Different Places,Different Places,11,COMPLETE,
Different Places,Plastic Operator/EP/2007 - Why Don't You_,Why Don't You?,3,MISSING_TRACKS,
Dig In!,Huevos Rancheros/Album/1995 - 64 Slices Of American Cheese,64 Slices Of American Cheese,2,MISSING_TRACKS,
Dig In!,Huevos Rancheros/Album/1995 - Dig In,Dig In!,13,COMPLETE,
Dig In!,Huevos Rancheros/Album/1996 - The Vice Barons - Split,Dig In!,4,MISSING_TRACKS,
Disconnected (Special Edition),Project Vela/Album/2018 - Disconnected (Special Edition),Disconnected,15,COMPLETE,
Disconnected (Special Edition),Project Vela/EP/2022 - Left with Pieces,Elsewhere,6,MISSING_TRACKS,
Dot,Karmakanic/Album/2016 - Dot,Dot,6,COMPLETE,
Dot,Karmakanic/Live/2006 - Live at Rosfest 2006,Live at Rosfest 2006 CD1,6,MISSING_TRACKS,
Dot,Karmakanic/Live/2010 - Summer's End Festival,Summer's End Festival,4,MISSING_TRACKS,
Down to Earth,Gentlemans Dub Club/Album/2021 - Down to Earth,Down to Earth,10,COMPLETE,
Down to Earth,Gentlemans Dub Club/Album/2021 - Down to Earth (Remixes),Down To Earth,2,MISSING_TRACKS,
Drive,Haberdashery/Album/2025 - Drive,Drive,10,COMPLETE,
Drive,Haberdashery/Album/2026 - One Taste,One Taste,5,MISSING_TRACKS,
Eden,Mary Ocher/Album/2013 - Baby Indiana,Baby Indiana,3,MISSING_TRACKS,
Eden,Mary Ocher/Album/2013 - Eden,Eden,14,COMPLETE,
Eden,Mary Ocher/Album/2013 - The Android Sea,The Android Sea,2,MISSING_TRACKS,
Effigy of the Forgotten,Suffocation/Album/1993 - Beginning Of Sorrow,Effigy of the Forgotten,10,EXTRA_TRACKS,
Effigy of the Forgotten,Suffocation/Album/2003 - Baltimore Death Fest,Pierced From Within,9,MISSING_TRACKS,
Eins,Purwien/Album/2007 - Eins,Eins,20,COMPLETE,
Eins,Purwien/Album/2007 - So Kalt,So Kalt,5,MISSING_TRACKS,
Electrique Fabrique 12 Inch Mixes,KRAFTman/Album/2021 - Florian,Florian (EP),6,MISSING_TRACKS,
Electrique Fabrique 12 Inch Mixes,KRAFTman/Album/2023 - Electrique Fabrique 12 Inch Mixes (Limited Edition),Electrique Fabrique 12 Inch Mixes,11,COMPLETE,
E-Lusive,Column One/Album/1996 - Odyssee,Odyssee,4,MISSING_TRACKS,
E-Lusive,Column One/Album/1997 - E-Lusive,E-Lusive,9,COMPLETE,
Encore!,Jill Barber/Album/2024 - Encore!,Encore!,11,COMPLETE,
Encore!,Jill Barber/EP/2024 - Beyond the Sea (EP),Beyond the Sea,2,MISSING_TRACKS,
Enemies Like This,Radio 4/Album/2006 - Enemies Like This,Enemies Like This,10,COMPLETE,
Enemies Like This,Radio 4/EP/2007 - As Far As The Eye Can See,As Far As The Eye Can See,3,MISSING_TRACKS,
Energia,Santos & Pecadores/Album/2010 - Energia,Energia,12,EXTRA_TRACKS,
Energia,Santos & Pecadores/Album/2011 - Leva-me A Dançar (Remixes),Leva-me A Dançar (Remixes),8,MISSING_TRACKS,
En Español 1,Franco Simone/Album/1981 - Λες να' ναι αγάπη,Λες Να 'Ναι Αγάπη,10,MISSING_TRACKS,
En Español 1,Franco Simone/Compilation/2021 - En español 1,En Español 1,15,EXTRA_TRACKS,
EP #2040,King Kashmere/EP/2013 - Strange U (Kashmere & Dr. Zygote) (EP),EP,6,MISSING_TRACKS,
EP #2040,King Kashmere/EP/2014 - Strange U (Kashmere & Dr. Zygote) - EP #2040,EP #2040,7,COMPLETE,
Epilogue / In the Glare of Burning Churches,Graveland/Album/1996 - In The Glare Of Burning Churches,In the Glare of Burning Churches,8,MISSING_TRACKS,
Epilogue / In the Glare of Burning Churches,Graveland/Album/1999 - Epilogue - In The Glare Of Burning Churches,Epilogue / In the Glare of Burning Churches,11,COMPLETE,
Eugene McGuinness,Eugene McGuinness/Album/2008 - Eugene McGuinness,Eugene McGuinness,12,COMPLETE,
Eugene McGuinness,Eugene McGuinness/EP/2008 - Moscow State Circus (EP),Moscow State Circus,4,MISSING_TRACKS,
eve,Cinema Staff/Live/2015 - 'Land=Ocean' Tour Final @ 2015.06.26 Zepp DiverCity,"""Land=Ocean"" Tour Final @ 2015.06.26 Zepp DiverCity",13,MISSING_TRACKS,
eve,Cinema Staff/Live/2016 - 'Waypoint 2015' @ 2015.12.02 Toshima Public Hall,eve,29,EXTRA_TRACKS,
Everybody,The Sea And Cake/Album/2007 - Everybody,Everybody,10,COMPLETE,
Everybody,The Sea And Cake/Live/2011 - Daytrotter Session 28.09.2011,"Daytrotter Session - Sep 28, 2011",6,MISSING_TRACKS,
"Exitos, Volume 4",La Pandilla/Album/1970 - Un rayo de sol,La Pandilla,10,MISSING_TRACKS,
"Exitos, Volume 4",La Pandilla/Album/2010 - 20 Grandes exitos (1970-1973),"Exitos, Volume 4",20,EXTRA_TRACKS,
Eye of the Needle,My Silent Wake/Album/2014 - Eye of the Needle,Eye of the Needle,7,COMPLETE,
Eye of the Needle,My Silent Wake/EP/2014 - Silver (EP),Silver,3,MISSING_TRACKS,
Eye of the Needle,My Silent Wake/EP/2014 - The Cage Sessions 03 (EP),Eye of the Needle,2,MISSING_TRACKS,
False Gestures for a Devious Public,The Blood/Album/1983 - False Gestures For A Devious Public,False Gestures for a Devious Public,21,COMPLETE,
False Gestures for a Devious Public,The Blood/Compilation/2009 - More Blood,More Blood,15,MISSING_TRACKS,
False Gestures for a Devious Public,The Blood/Compilation/2009 - More Blood (Compilation),More Blood,15,MISSING_TRACKS,
False Gestures for a Devious Public,The Blood/Remastered/1983 - False Gestures For A Devious Public (Reissue 2005),False Gestures for a Devious Public,21,COMPLETE,
Família Caymmi,Dori Caymmi/Live/1987 - Caymmi (Ao Vivo no Rio de Janeiro),Família Caymmi,15,COMPLETE,
Família Caymmi,Nana Caymmi/Album/2013 - Caymmi,Caymmi,13,MISSING_TRACKS,
Família Caymmi,Nana Caymmi/Live/1987 - Família Caymmi (Ao Vivo no Rio de Janeiro),Família Caymmi,15,COMPLETE,
Famous in the Last Century,Status Quo/Album/2000 - Famous In The Last Century,Famous in the Last Century,17,COMPLETE,
Famous in the Last Century,Status Quo/Live/2000 - Famous In The Last Century - Filmed Live In London,Famous In The Last Century,17,MISSING_TRACKS,
Fatal Attraction,"Killer/Compilation/2019 - Vol. 2 - Only the Strong Survive, 1988-2015 (Boxed Set) [4 CD]/CD 4 - Van Camp - Too Wild to Tame (1988)","Vol. 2: Only the Strong Survive, 1988-2015",8,MISSING_TRACKS,
Fatal Attraction,Killer/Remastered/1990 - Fatal Attraction (2002 Reissue),Fatal Attraction,14,COMPLETE,
Fata-Organa,Laszlo Hortobagyi/Album/1997 - Fata-Organa,Fata-organa,16,COMPLETE,
Fata-Organa,Laszlo Hortobagyi/Album/2000 - The Brief History Of GUO,GUOlden Edition,13,MISSING_TRACKS,
Father,Brisa Roché/Album/2018 - Father,Father,12,COMPLETE,
Father,Brisa Roché/EP/2018 - Patience,Patience,4,MISSING_TRACKS,
Faz uma loucura por mim,Alcion/Album/2004 - Faz Uma Loucura Por Mim,Faz Uma Loucura Por Mim,17,MISSING_TRACKS,
Faz uma loucura por mim,Alcione/Album/2004 - Faz Uma Loucura Por Mim,Faz uma loucura por mim,17,COMPLETE,
Features (Remixed),Kris Menace/Album/2013 - Features Remixed (Compuphonic - COMPU 31),Features,11,EXTRA_TRACKS,
Features (Remixed),Kris Menace/Album/2013 - Voodoo Dilate (Samo)(Better Songs - Sony),Voodoo Dilate (Samo),11,EXTRA_TRACKS,
Features (Remixed),Kris Menace/EP/2013 - Kris Menace (feat. Black Hills) Waiting For You (EP)(Compuphonic - COMPU28),Waiting For You,5,MISSING_TRACKS,
Feels So Good // Feels So Bad,The Shivas/Album/2021 - Feels So Good _ Feels So Bad,Feels So Good // Feels So Bad,13,COMPLETE,
Feels So Good // Feels So Bad,The Shivas/Album/2023 - Alive in The World,Alive in The World,13,MISSING_TRACKS,
Festa Para Um Rei Negro,Jair Rodrigues/Album/1971 - Festa Para Um Rei Negro,Festa Para Um Rei Negro,13,COMPLETE,
Festa Para Um Rei Negro,Jair Rodrigues/Album/1982 - Jair Rodrigues de Oliveira,Jair Rodrigues De Oliveira,10,MISSING_TRACKS,
Field Trip,Tor Lundvall/Album/2011 - Field Trip,Field Trip,3,MISSING_TRACKS,
Field Trip,Tor Lundvall/Album/2016 - Nature Laughs As Time Slips By/Disc 4 - Field Trip,Nature Laughs as Time Slips By,12,MISSING_TRACKS,
Fire Below a Spread Seed,Black Leather Jesus/Album/1995 - Black Leather Jesus + Mad Recital - Forge,Fire Below a Spread Seed,2,MISSING_TRACKS,
Fire Below a Spread Seed,Black Leather Jesus/Album/1995 - Glorious Sadism Vol. 1 & 2 (RE 2024),Fire Below a Spread Seed,4,EXTRA_TRACKS,
Fire Below a Spread Seed,Black Leather Jesus/Album/1998 - Event,Fire Below a Spread Seed,5,EXTRA_TRACKS,
Fire Below a Spread Seed,Black Leather Jesus/Album/2016 - Black Leather Jesus + Pharmakon + Future Blondes - Defile Texas 2.5.15,Defile Texas 2.5.15,3,EXTRA_TRACKS,
Fire Below a Spread Seed,Black Leather Jesus/Album/2023 - Live - Excessive Force,Live: Excessive Force,2,MISSING_TRACKS,
Fire Below a Spread Seed,Black Leather Jesus/Album/2023 - Live - Forced Red,Fire Below a Spread Seed,2,COMPLETE,
First Lady of Soul,Trudy Lynn/Album/1994 - 24 Hour Woman,24 Hour Woman,12,MISSING_TRACKS,
First Lady of Soul,Trudy Lynn/Album/1995 - First Lady Of Soul,First Lady of Soul,14,COMPLETE,
First Light,Pat Martino/Album/1999 - First Light,First Light,4,MISSING_TRACKS,
First Light,Pat Martino/Album/1999 - First Light Joyous Lake Starbright,First Light: Joyous Lake / Starbright,18,COMPLETE,
Flows Out,Contagious Orgasm/Album/2003 - Flows Out,Flows Out,8,COMPLETE,
Flows Out,Contagious Orgasm/Album/2004 - Daft Jarring Effects,Daft Jarring Effects,7,MISSING_TRACKS,
"F, Monday, Orange, February, Venus, Lunatic, 1 or 13","Colourmusic/Album/2008 - F, Monday, Orange, February, Venus, Lunatic, 1 Or 13","F, Monday, Orange, February, Venus, Lunatic, 1 or 13",13,COMPLETE,
"F, Monday, Orange, February, Venus, Lunatic, 1 or 13","Colourmusic/EP/2013 - A Very Special Colourmusic Christmas, Vol. 1",A Very Special Colourmusic Christmas: Volume 1,7,MISSING_TRACKS,
Folk 'n Hill,Charlie Moore/Album/1963 - Folk 'n Hill (With Bill Napier),Folk 'n Hill,14,COMPLETE,
Folk 'n Hill,Charlie Moore/Album/1966 - Country Music Goes To Vietnam (With Bill Napier),Country Music Goes To Vietnam,11,MISSING_TRACKS,
Folk Songs for an Obscure Race,Grim/Compilation/1999 - The Past Is Still in Current Use,The Past Is Still in Current Use,21,MISSING_TRACKS,
Folk Songs for an Obscure Race,Grim/Compilation/2009 - Folk Songs For An Obscure Race,Folk Songs for an Obscure Race,21,COMPLETE,
Forging Nations LIVE!,The Cyberiam/Live/2020 - Forging Nations LIVE!,Forging Nations LIVE!,7,COMPLETE,
Forging Nations LIVE!,The Cyberiam/Live/2023 - Deux-Oh (Live In Quebec City),Moore's Law,6,MISSING_TRACKS,
For Now,Girl K/Album/2019 - For Now,For Now,8,COMPLETE,
For Now,Girl K/EP/2020 - Girl K on Audiotree Live,Girl K on Audiotree Live,7,MISSING_TRACKS,
For You Tonight,Jungle/Album/1998 - For You Tonight,For You Tonight,11,COMPLETE,
For You Tonight,Jungle/Album/1998 - To Be Heard,To Be Heard,3,MISSING_TRACKS,
Fragile Revolution,Lluva/Album/2022 - Fragile Revolution,Fragile Revolution,9,COMPLETE,
Fragile Revolution,Lluva/Album/2023 - BIZANCIO,BIZANCIO,10,EXTRA_TRACKS,
Fragile Revolution,Lluva/EP/2023 - Cinematic Man (EP),Cinematic Man (EP),5,MISSING_TRACKS,
Full Bloom,Savoir Adore/Album/2019 - Full Bloom,Full Bloom,12,COMPLETE,
Full Bloom,Savoir Adore/EP/2018 - First Bloom (EP),Full Bloom,6,MISSING_TRACKS,
Full Bloom,Savoir Adore/EP/2018 - When the Summer Ends (Remixes),When the Summer Ends (Remixes),4,MISSING_TRACKS,
Fun City,Bright Light Bright Light/Album/2020 - Fun City,Fun City,12,COMPLETE,
Fun City,Bright Light Bright Light/EP/2020 - Good at Goodbyes,Good At Goodbyes,5,MISSING_TRACKS,
Fun City,Bright Light Bright Light/EP/2020 - I Used to Be Cool,I Used to Be Cool,4,MISSING_TRACKS,
Fun City,Bright Light Bright Light/EP/2020 - This Was My House,This Was My House,4,MISSING_TRACKS,
Funky Funky Boom Boom,Jota Quest/Album/2013 - Funky Funky Boom Boom,Funky Funky Boom Boom,15,COMPLETE,
Funky Funky Boom Boom,Jota Quest/Album/2014 - Remixes Waiting For You,Remixes Waiting For You,9,MISSING_TRACKS,
Fun With Dumb,Dumbfoundead/Album/2008 - Dumburger With No Cheese,Dumburger With No Cheese,7,MISSING_TRACKS,
Fun With Dumb,Dumbfoundead/Album/2009 - Fun With Dumb,Fun With Dumb,19,COMPLETE,
Further Definitions + Jazz Giant,Benny Carter/Album/2012 - Definitions of Jazz (Best Of),Further Definitions + Jazz Giant,25,EXTRA_TRACKS,
Further Definitions + Jazz Giant,Benny Carter/Album/2013 - Further Definition,Further Definitions,8,MISSING_TRACKS,
FURTHER SHORE,he/Album/2005 - Further Shore,FURTHER SHORE,8,COMPLETE,
FURTHER SHORE,he/EP/2003 - No Skill,No Skill,2,MISSING_TRACKS,
Future:Memories,Pegasus/Album/2022 - Future_Memories,Future:Memories,10,COMPLETE,
Future:Memories,Pegasus/EP/2023 - Future_Memories - The Piano Sessions,Future : Memories,6,MISSING_TRACKS,
Gambler's Ecstasy,Chris Brokaw/Album/2012 - Gambler's Ecstasy,Gambler's Ecstasy,10,COMPLETE,
Gambler's Ecstasy,Chris Brokaw/Live/2011 - I Ace Sociopathic King,I Ace Sociopathic King,9,MISSING_TRACKS,
Gap Band 8,The Gap Band/Album/1986 - Gap Band 8,Gap Band VIII,8,MISSING_TRACKS,
Gap Band 8,"The Gap Band/Album/1986 - Gap Band 8 (2011 Reissue, Remastered)",Gap Band VIII,14,COMPLETE,
Gap Band 8,"The Gap Band/Compilation/2019 - Gap Band 8 + Bonus Tracks - Straight From The Heart (2CD) (Reissue, Remastered)/CD1 - Gap Band 8 + Bonus Tracks",Gap Band 8 + Bonus Tracks / Straight From The Heart,14,COMPLETE,
Garland Sessions,The Owl Service/Album/2012 - Garland Sessions,Garland Sessions,19,COMPLETE,
Garland Sessions,The Owl Service/EP/2013 - Bare Ghosts EP,Bare Ghosts,4,MISSING_TRACKS,
Garland Sessions,The Owl Service/EP/2013 - BBC6 Music Freak Zone Session (EP),The Petrifying Well,3,MISSING_TRACKS,
Gates of Nocticula,Lucifugum/Album/1996 - [2004] - Gates Of Nocticula,Gates of Nocticula,8,COMPLETE,
Gates of Nocticula,Lucifugum/Album/1996 - Gates Of Nocticula [Demo],Gates Of Nocticula,8,MISSING_TRACKS,
Gee Baby,Al Campbell/Album/1978 - 79/1978.1 - Gee Baby (2017),Gee Baby,10,COMPLETE,
Gee Baby,Al Campbell/Album/1980 - 88/1984 - Talk About Love,Talk About Love,10,MISSING_TRACKS,
Gee Baby,Al Campbell/Album/1997 - 23/2011 - Get Ready,Get Ready,10,MISSING_TRACKS,
Get in the Pita Bread Pit,Useless ID/Album/1999 - Get In The Pita Bread Pit,Get in the Pita Bread Pit,10,MISSING_TRACKS,
Get in the Pita Bread Pit,Useless ID/EP/1998 - Split Useless ID & Spyhole,Useless I.D. / Spyhole,6,MISSING_TRACKS,
Giants of Jazz,Acker Bilk/Album/2019 - Giants of Jazz,Giants of Jazz,18,COMPLETE,
Giants of Jazz,Acker Bilk/Compilation/2011 - Live! Vol. 1,Live! Vol. 1,12,MISSING_TRACKS,
Goin' Home,Blind Lemon Pledge/Album/2010 - I Would Rather Go Blind,I Would Rather Go Blind,10,MISSING_TRACKS,
Goin' Home,Blind Lemon Pledge/Album/2020 - Goin' Home,Goin' Home,12,COMPLETE,
Gordon Giltrap,Gordon Giltrap/Album/1997 - Gordon Giltrap (1968) - Portrait (1969) (Castle Communications UK),Gordon Giltrap,24,EXTRA_TRACKS,
Gordon Giltrap,Gordon Giltrap/Live/2005 - Giltrap - A Taste Of Classical Giltrap (2014 Giltrap WEB),Giltrap,8,MISSING_TRACKS,
Grandes Êxitos,Luís Represas/Album/2000 - Código Verde,Código Verde,13,MISSING_TRACKS,
Grandes Êxitos,Luís Represas/Album/2020 - Grandes Êxitos,Grandes Êxitos,14,COMPLETE,
Greatest Hits,Middle of the Road/Compilation/1998 - Greatest Hits,Greatest Hits,16,COMPLETE,
Greatest Hits,Middle of the Road/Compilation/2023 - Flying High,Flying High,12,MISSING_TRACKS,
Green Grow the Lilacs,The Originals/Album/1969 - Green Grow The Lilacs,Green Grow the Lilacs,12,COMPLETE,
Green Grow the Lilacs,The Originals/Album/1981 - Yesterday And Today,Yesterday And Today,6,MISSING_TRACKS,
Guiding Light,Pymlico/Album/2014 - Guiding Light,Guiding Light,7,COMPLETE,
Guiding Light,Pymlico/EP/2015 - Studio Live EP,Studio Live - EP,4,MISSING_TRACKS,
Half Century Dub … Five Decades in the Mix,"Vibronics/Album/2017 - Vibronics, Conscious Sounds - Half Century Dub Five Decades in the Mix",Half Century Dub … Five Decades in the Mix,10,COMPLETE,
Half Century Dub … Five Decades in the Mix,"Vibronics/EP/2017 - Vibronics, Conscious Sounds - Blaze a Fire ∕ Hail Up EP",Blaze a Fire / Hail Up EP,4,MISSING_TRACKS,
Happy Accident,Big Little Lions/Album/2022 - Happy Accident,Happy Accident,14,COMPLETE,
Happy Accident,Big Little Lions/EP/2020 - Distant Air (EP),Happy Accident,3,MISSING_TRACKS,
Happy Accident,Big Little Lions/EP/2021 - Never Mind the Weather (EP),Never Mind the Weather - EP,3,MISSING_TRACKS,
Happy Accident,Big Little Lions/EP/2021 - Turn It Off (EP),Turn It Off - EP,3,MISSING_TRACKS,
Happy Accident,Big Little Lions/EP/2021 - We Were Young (EP),Happy Accident,3,MISSING_TRACKS,
Heartbreak Is Misery,Brannon/Album/2014 - Welton St,Welton St,12,MISSING_TRACKS,
Heartbreak Is Misery,Brannon/Album/2023 - Heartbreak Is Misery,Heartbreak Is Misery,14,COMPLETE,
Heimreise - Live in Bremen - 27.08.2011,Unheilig/Compilation/2011 - Heimreise,Heimreise,20,MISSING_TRACKS,
Heimreise - Live in Bremen - 27.08.2011,Unheilig/Compilation/2012 - Heimreise [Deluxe Limited Edition]/DVD 1 - Auf Dem Weg Zum Heimathafen - Das Konzert,Heimreise 2011,15,MISSING_TRACKS,
Henry Fool,Henry Fool/Album/2001 - Henry Fool,Henry Fool,16,COMPLETE,
Henry Fool,Henry Fool/EP/2013 - The Free Henry Fool (EP),The Free Henry Fool Download EP,4,MISSING_TRACKS,
High King,Emerald Rage/Album/2021 - High King,High King,9,COMPLETE,
High King,Emerald Rage/EP/2021 - Wings of Solitude (EP),Wings of Solitude (EP),3,MISSING_TRACKS,
Highly Recommended,Helen Baylor/Album/1990 - Highly Recommended,Highly Recommended,10,COMPLETE,
Highly Recommended,Helen Baylor/Album/2008 - The Definitive Gospel Collection,The Definitive Gospel Collection,10,MISSING_TRACKS,
HODGEPODGE,The Rembrandts/Album/2000 - T.H.R.U.S.H. (Phil Solem),T.H.R.U.S.H.,12,MISSING_TRACKS,
HODGEPODGE,The Rembrandts/Album/2011 - HODGEPODGE (Phil Solem),HODGEPODGE,12,COMPLETE,
Hope,Foy Vance/Album/2007 - Hope,Hope,15,COMPLETE,
Hope,"Foy Vance/Live/2009 - Live at the Waterfront, Belfast","Live At The Waterfront, Belfast",5,MISSING_TRACKS,
Hot,Inna/Album/2010 - Hot,Hot,14,COMPLETE,
Hot,Inna/EP/2011 - Un Momento [WEB],Un Momento,14,MISSING_TRACKS,
Hot Garden Stomp,The Mountain Goats/Album/1993 - Hot Garden Stomp (Cassete),Hot Garden Stomp,16,COMPLETE,
Hot Garden Stomp,The Mountain Goats/Album/2012 - The Hound Chronicles & Hot Garden Stomp/CD 1. Hot Garden Stomp,The Hound Chronicles / Hot Garden Stomp,16,MISSING_TRACKS,
Hunter Man,Barrington Levy/Album/1983 - Hunter Man,Hunter Man,8,COMPLETE,
Hunter Man,Barrington Levy/Album/1983 - Revelation,Revelation / Better Your Life,4,MISSING_TRACKS,
Ich bin nicht modern... Ich fühle deutsch,Frank Rennicke/Album/1993 - Ich bin nicht modern... ich fuhle Deutsch,Ich bin nicht modern... Ich fühle deutsch,15,COMPLETE,
Ich bin nicht modern... Ich fühle deutsch,Frank Rennicke/Album/1996 - Deutsche Gefühle,Ich Bin Nicht Modern...Ich Fühle Deutsch,15,MISSING_TRACKS,
Id-dar tal-missier,A Lily/EP/2018 - Id-Dar Tal-Missier,Id-dar tal-missier,7,EXTRA_TRACKS,
Id-dar tal-missier,A Lily/EP/2019 - Wara Id-Dar,Wara Id-Dar,5,MISSING_TRACKS,
Imagine - Gonzalo Rubalcaba in the USA,Gonzalo Rubalcaba/Album/1986 - Concatenacion Heroica,Gonzalo Rubalcaba,4,MISSING_TRACKS,
Imagine - Gonzalo Rubalcaba in the USA,Gonzalo Rubalcaba/Album/1993 - Imagine,Imagine - Gonzalo Rubalcaba in the USA,7,COMPLETE,
Imagine - Gonzalo Rubalcaba in the USA,Gonzalo Rubalcaba/Album/1995 - Pergamin,Gonzalo Rubalcaba,4,MISSING_TRACKS,
I'M FREE,a flood of circle/Album/2013 - I'M FREE,I'M FREE,12,COMPLETE,
I'M FREE,ircle/Album/2022 - ふるえる,ふるえる,10,MISSING_TRACKS,
I'm the Right Man,Jaye Hammer/Album/2014 - Jaye Hammer's Still Got It,Jaye Hammer's Still Got It,11,MISSING_TRACKS,
I'm the Right Man,Jaye Hammer/Album/2015 - I'm The Right Man,I'm the Right Man,11,COMPLETE,
I'm the Right Man,Jaye Hammer/Album/2019 - The Best Of Jaye Hammer,The Best Of Jaye Hammer,14,EXTRA_TRACKS,
In der Kantine gab es Bohnen...,Tomas Tulpe/Album/2017 - Ich War Noch Nie Im Berghain,Ich War Noch Nie Im Berghain,2,MISSING_TRACKS,
In der Kantine gab es Bohnen...,Tomas Tulpe/Album/2017 - In Der Kantine Gab Es Bohnen,In der Kantine gab es Bohnen...,14,COMPLETE,
Industry,Reactor/Album/2000 - Industry,Industry,12,MISSING_TRACKS,
Industry,Reactor/Live/1999 - Iндuстрія (Live),Iíäuñòð³ÿ (Live),10,MISSING_TRACKS,
Infierno,Zarpa/Album/2003 - Infierno,Infierno,16,COMPLETE,
Infierno,Zarpa/Album/2009 - Iberia/Disc 2 - DVD,Iberia,15,MISSING_TRACKS,
In Hatred's Flame,Exmortus/Album/2008 - In Hatred's Flame,In Hatred's Flame,11,COMPLETE,
